embeddings,db,generator
mxbai-embed-large,2025_ai,qwen2.5:3b
mxbai-embed-large,2025_cv,qwen2.5:3b
mxbai-embed-large,2025_ml,qwen2.5:3b
mxbai-embed-large,2025_stat,qwen2.5:3b
mxbai-embed-large,2025_evo,qwen2.5:3b
mxbai-embed-large,df_2015_2024_Artificial Intelligence,qwen2.5:3b
mxbai-embed-large,df_2015_2024_Computation and Language (Natural Language Processing),qwen2.5:3b
mxbai-embed-large,df_2015_2024_Computer Vision and Pattern Recognition,qwen2.5:3b
mxbai-embed-large,df_2015_2024_Machine Learning,qwen2.5:3b
mxbai-embed-large,df_2015_2024_Machine Learning (Statistics),qwen2.5:3b
mxbai-embed-large,df_2020_2024_Artificial Intelligence,qwen2.5:3b
mxbai-embed-large,df_2020_2024_Computation and Language (Natural Language Processing),qwen2.5:3b
mxbai-embed-large,df_2020_2024_Computer Vision and Pattern Recognition,qwen2.5:3b
mxbai-embed-large,df_2020_2024_Machine Learning,qwen2.5:3b
mxbai-embed-large,df_2020_2024_Machine Learning (Statistics),qwen2.5:3b
mxbai-embed-large,df_2023_2024_Artificial Intelligence,qwen2.5:3b
mxbai-embed-large,df_2023_2024_Computation and Language (Natural Language Processing),qwen2.5:3b
mxbai-embed-large,df_2023_2024_Computer Vision and Pattern Recognition,qwen2.5:3b
mxbai-embed-large,df_2023_2024_Machine Learning,qwen2.5:3b
mxbai-embed-large,df_2023_2024_Machine Learning (Statistics),qwen2.5:3b
mxbai-embed-large,df_2024_Artificial Intelligence,qwen2.5:3b
mxbai-embed-large,df_2024_Computation and Language (Natural Language Processing),qwen2.5:3b
mxbai-embed-large,df_2024_Computer Vision and Pattern Recognition,qwen2.5:3b
mxbai-embed-large,df_2024_Machine Learning,qwen2.5:3b
mxbai-embed-large,df_2024_Machine Learning (Statistics),qwen2.5:3b
granite-embedding:30m,demo,qwen2.5-3b-ragas
